Metoda,Klasyfikacja,F1 mean,F1 std,Precision mean,Precision std,Recall mean,Recall std,Balanced accuracy mean,Balanced accuracy std,Valid folds
Naive bayes SMOTE,CreditCard,0.5601557021983916,0.12765534389374425,0.42115445382207045,0.15414068014517424,0.9285756056808688,0.06837539635778661,0.9612630854343118,0.032649584776137726,10
Naive bayes SMOTE,TelcoChurn,0.5811332336013854,0.006077101377672095,0.437926224386639,0.007306766301821127,0.8639297992016066,0.013922582270888249,0.7315754876698125,0.0037402191316274406,10
Naive bayes ADASYN,9:1,0.5356246373439217,0.011886661404865552,0.3767586855763525,0.011995523698606058,0.9270078361263222,0.010508688336107555,0.8739895507452605,0.003375795064886332,10
Naive bayes ADASYN,99:1,0.1583283187534817,0.02099124336161962,0.09058367484048688,0.013614841833670226,0.6419026482420856,0.03430604492299622,0.7662989740495892,0.018308004926542252,10
Naive bayes ADASYN,999:1,0.010433815354456344,0.0028868549549950087,0.00533820110741443,0.0014691354826692463,0.23931030336202747,0.09802505467411413,0.4955801836315529,0.03253432649133343,10
Naive bayes ADASYN,CreditCard,0.5408488356684339,0.12355442199188749,0.3985697825658955,0.1409089863557514,0.9285756056808688,0.06837539635778661,0.9610602023518087,0.0326839301705534,10
Naive bayes ADASYN,TelcoChurn,0.5730537200150059,0.003971429584698489,0.4235744127132238,0.005643443489165214,0.8859727390592947,0.013395616985072238,0.7250990189157644,0.002016086069361711,10
KNeighbors No Oversampling,9:1,0.49404130509105715,0.019174718733348278,0.8081813065234442,0.018071066498040675,0.3560697947719377,0.018748525622628312,0.6730986086080882,0.009255098011384648,10
KNeighbors No Oversampling,99:1,0.2077166852151489,0.02396067924062901,0.9916666666666666,0.025000000000000012,0.11624701960736865,0.015199970960482066,0.5581133368637048,0.007591230897325577,10
KNeighbors No Oversampling,999:1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10
KNeighbors No Oversampling,CreditCard,0.0477933965348153,0.06414916638780406,0.35,0.45,0.025843776106934002,0.035007596639230344,0.512911735769203,0.01749750880803689,10
KNeighbors No Oversampling,TelcoChurn,0.49359245481219205,0.01900669130673268,0.5750162359093911,0.018419699409905375,0.43274409779038275,0.022470694318651892,0.6586062270250854,0.010990215435694667,10
KNeighbors Random Oversampling,9:1,0.5031214010862667,0.01091766062364833,0.3967607558524659,0.010112456347240898,0.6880110630958383,0.02244697450918112,0.7829256252095572,0.009444068269510733,10
KNeighbors Random Oversampling,99:1,0.20324096538808084,0.0249584058329118,0.1558297018892503,0.02182306674702392,0.2985737870068448,0.04762591193734208,0.635725842517247,0.022520052503750568,10
KNeighbors Random Oversampling,999:1,0.009267012855446255,0.011542587637442545,0.007177916163851203,0.00925545754571351,0.014234006734006733,0.01763850476433294,0.50135502399604,0.00873374764276163,10
KNeighbors Random Oversampling,CreditCard,0.22201817860543036,0.09596003092996708,0.2245815245452269,0.11696807158853405,0.23031303749570003,0.08128997983180349,0.6134416796487965,0.04092959915167175,10
KNeighbors Random Oversampling,TelcoChurn,0.5228476916972884,0.0068817904896646825,0.43589064770313596,0.006301750806859041,0.6534439476217553,0.01562977730445503,0.6739073387907211,0.005549570874318605,10
KNeighbors SMOTE,9:1,0.46933193926435335,0.009888471312177188,0.332094484653398,0.010277633523640238,0.8010651126083502,0.020482449495947203,0.8063972544360924,0.00588696088523586,10
KNeighbors SMOTE,99:1,0.11051576054166523,0.014468831002063288,0.06216952339828284,0.009142837011562701,0.5080256956416243,0.0413039398325354,0.6893770440962368,0.017863677369661424,10
KNeighbors SMOTE,999:1,0.00881277029692965,0.003913052660255282,0.004676583356382316,0.0020843973785013236,0.08124620590137831,0.04073096694504359,0.4896253308374633,0.02195948109341634,10
KNeighbors SMOTE,CreditCard,0.12476883744741438,0.03132325154795653,0.06872596211865402,0.019078568239239747,0.7240864415941816,0.07464446500487427,0.8422822058499888,0.03427596110191771,10
KNeighbors SMOTE,TelcoChurn,0.531543770535281,0.006464589988016352,0.4511091873286512,0.005996630498571801,0.6471917542917317,0.0155052936834545,0.6813237551129886,0.005295200179601553,10
KNeighbors ADASYN,9:1,0.44996139707482985,0.009369534707155007,0.3122446931033542,0.010117714640136485,0.8066483769412027,0.02334783677826931,0.7994604904756406,0.006214194673523063,10
KNeighbors ADASYN,99:1,0.10945048314092168,0.014759586503421941,0.06135791212741173,0.009178449195753011,0.5169333667930252,0.04780766858198739,0.6918792675667029,0.02208058378420897,10
KNeighbors ADASYN,999:1,0.008408202229170865,0.002592650123587642,0.004460211521803982,0.0014026719388621697,0.07821590287107527,0.02532640302668459,0.48814038064043147,0.014375167156309827,10
KNeighbors ADASYN,CreditCard,0.12272405217065666,0.029484580447611,0.06737816896986122,0.018057569010522214,0.7416897636247481,0.07661113577888105,0.8502722171163309,0.03583646419188408,10
KNeighbors ADASYN,TelcoChurn,0.5307163633953662,0.00834616269971016,0.42882448885364194,0.007679641353722599,0.6963509975619401,0.014831789611625826,0.680628335868882,0.005702344975041452,10
